,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
92,60,90,Nd,92, ,2652.0,4, ,4,17, , , , , , , , , , , , , , , , , , , , ,2021-06-09
93,60,90,Nd,93, ,2681.0,4, ,4,18, , , , , , , , , , , , , , , , , , , , ,2021-06-09
94,60,90,Nd,94, ,2681.0,4, ,1,1,0.012, ,3,eV,0.00000000000003801980958928214,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
95,60,90,Nd,95, ,2681.6,1.8, ,14,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
96,60,90,Nd,96, ,2707.0,4, ,4,19, , , , , , , , , , , , , , , , , , , , ,2021-06-09
97,60,90,Nd,97, ,2737.0,4, ,4,20, , , , , , , , , , , , , , , , , , , , ,2021-06-09
98,60,90,Nd,98, ,2755.0,4, ,4,21, , , , , , , , , , , , , , , , , , , , ,2021-06-09
99,60,90,Nd,99, ,2789.0,4, ,4,22, , , , , , , , , , , , , , , , , , , , ,2021-06-09
100,60,90,Nd,100, ,2818.0,4, ,3,13, , , , , , , , , , , , , , , , , , , , ,2021-06-09
101,60,90,Nd,101, ,2836.0,4, ,3,14, , , , , , , , , , , , , , , , , , , , ,2021-06-09
102,60,90,Nd,102, ,2837.2,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
103,60,90,Nd,103, ,2880.0,4, ,3,15, , , , , , , , , , , , , , , , , , , , ,2021-06-09
104,60,90,Nd,104, ,2895.0,4, ,4,23, , , , , , , , , , , , , , , , , , , , ,2021-06-09
105,60,90,Nd,105, ,2895.0,1, ,1,2,0.017, ,3,eV,0.00000000000002683751265125798,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
