,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
136,12,12,Mg,136, ,13444.9,1, ,1 2,5,0.4,LT, ,keV,1.1405942876784644e-18, , , , , , , , , , ,0, , , , ,2021-06-10
137,12,12,Mg,137, ,13451.1,1, ,0, ,2.1, ,2,keV,2.17256054795898e-19,2.2811885753569284e-18, , , , , , , , , ,0, , , , ,2021-06-10
138,12,12,Mg,138, ,13473.0,1, ,2 3 4,7,1,LT, ,keV,4.562377150713857e-19, , , , , , , , , , , , , , , ,2021-06-10
139,12,12,Mg,139, ,13481.0,1, ,0, ,1.2, ,3,keV,3.801980958928214e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
140,12,12,Mg,140, ,13540.4,1, ,0, ,6.9, ,10,keV,6.61214079813602e-20,4.562377150713857e-19, , , , , , , , , ,0, , , , ,2021-06-10
141,12,12,Mg,141, ,13581.0,5, ,0, ,22, ,2,keV,2.07380779577903e-20,2.281188575356929e-19, , , , , , , , , ,0, , , , ,2021-06-10
142,12,12,Mg,142, ,13585.3,1.2, ,0, ,8.0, ,10,keV,5.70297143839232e-20,4.562377150713857e-19, , , , , , , , , ,0, , , , ,2021-06-10
143,12,12,Mg,143, ,13630.7,1.3, ,0, ,1.5, ,2,keV,3.041584767142571e-19,2.2811885753569284e-18, , , , , , , , , ,0, , , , ,2021-06-10
144,12,12,Mg,144, ,13675.5,1.1, ,0, ,5.1, ,5,keV,8.94583755041933e-20,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
145,12,12,Mg,145, ,13682.0,3, ,0, ,23, ,3,keV,1.98364223944081e-20,1.520792383571286e-19, , , , , , , , , , , , , , ,2021-06-10
146,12,12,Mg,146, ,13719.0,4, ,0, ,2.6, ,3,keV,1.754760442582253e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
147,12,12,Mg,147, ,13767.0,3, ,0, ,2.5, ,5,keV,1.824950860285543e-19,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
