,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
76,25,30,Mn,76, ,3703.48,0.24, ,0, ,13, ,4,fs,0.000000000000013,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
77,25,30,Mn,77, ,3753.5,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
78,25,30,Mn,78, ,3771.8,0.22, ,0,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
79,25,30,Mn,79, ,3791.0,2, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
80,25,30,Mn,80, ,3800.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
81,25,30,Mn,81, ,3813.05,0.22, ,17/2,1,83, ,28,fs,0.000000000000083,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
82,25,30,Mn,82, ,3831.5,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
83,25,30,Mn,83, ,3844.9,0.3, ,15/2,1,0.2,LT, ,ps,0.0000000000002, , , , , , , , , , , , , , , ,2021-06-10
84,25,30,Mn,84, ,3860.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
85,25,30,Mn,85, ,3882.94,0.23, , 3/2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
86,25,30,Mn,86, ,3917.4,0.4, , 3/2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
87,25,30,Mn,87, ,3932.0,10, ,0,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
88,25,30,Mn,88, ,3946.0,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
89,25,30,Mn,89, ,3983.2,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
90,25,30,Mn,90, ,3998.0,5, , 3/2,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
91,25,30,Mn,91, ,4003.0,0.25, ,0, ,3, ,2,fs,0.000000000000003,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
92,25,30,Mn,92, ,4051.6,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
93,25,30,Mn,93, ,4091.0,0.4, ,3/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
94,25,30,Mn,94, ,4100.0,2, ,3/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
95,25,30,Mn,95, ,4113.0,0.4, ,5/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
96,25,30,Mn,96, ,4173.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
97,25,30,Mn,97, ,4200.0,5, ,0,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
98,25,30,Mn,98, ,4205.47,0.22, ,17/2,1,69, ,28,fs,0.000000000000069,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
99,25,30,Mn,99, ,4217.1,0.4, , 3/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
100,25,30,Mn,100, ,4234.1,0.5, ,11/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
101,25,30,Mn,101, ,4266.0,5, ,3/2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
102,25,30,Mn,102, ,4280.0,15, ,0,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
103,25,30,Mn,103, ,4383.5,0.4, , 7/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
104,25,30,Mn,104, ,4404.0,5, , 7/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
105,25,30,Mn,105, ,4410.0,20, ,0,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
106,25,30,Mn,106, ,4415.67,0.22, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
107,25,30,Mn,107, ,4429.1,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
108,25,30,Mn,108, ,4480.0,20, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
109,25,30,Mn,109, ,4493.0,0.5, , 3/2,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
110,25,30,Mn,110, ,4544.1,0.4, , 3/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
111,25,30,Mn,111, ,4580.0,2, ,3/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
112,25,30,Mn,112, ,4586.0,15, , 3/2,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
113,25,30,Mn,113, ,4600.0,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
114,25,30,Mn,114, ,4648.1,0.4, , 3/2,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
115,25,30,Mn,115, ,4746.3,0.5, , 3/2,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
116,25,30,Mn,116, ,4804.0,5, , 3/2,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
117,25,30,Mn,117, ,4896.0,15, , 5/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
118,25,30,Mn,118, ,4925.1,0.4, ,3/2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
119,25,30,Mn,119, ,4928.8,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
120,25,30,Mn,120, ,4997.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
121,25,30,Mn,121, ,5026.0,16, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
122,25,30,Mn,122, ,5028.1,0.3, ,19/2,1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
123,25,30,Mn,123, ,5058.0,5, , 3/2,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
