Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
24,30,Cr,100, ,6719.52,0.79, ,(10+),1,0.10,LT, ,ps,0.0000000000001, , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,101, ,6726.2,0.7, ,(10)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,102, ,6743,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,103, ,6780,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,104, ,6814,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,105, ,6831,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,106, ,6875,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,107, ,6899,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,108, ,6941,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,109, ,6960,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,110, ,6991,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,111, ,7050,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,112, ,7084,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,113, ,7103,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,114, ,7127,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,115, ,7159,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,116, ,7174,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,117, ,7199,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,118, ,7235.3,0.4, ,(9),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,119, ,7292.1,0.5, ,(9),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,120, ,7370, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,121, ,7400, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,122, ,7590, , ,(-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,123, ,7850, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,124, ,7895,0.9, ,(10),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,125, ,8236.9,0.6, ,(11+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,126, ,8300, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,127, ,8500, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,128, ,8825.4,0.8, ,(12+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,129, ,8859.1,0.7, ,(10),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,130, ,8990, , ,+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,131, ,9154.4,0.6, ,(11),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,132, ,9300, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,133, ,9420, , ,+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,134, ,9634.4,0.9, ,(12+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,135, ,9971.8,0.8, ,(13+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,136, ,10551.6,1.1, ,(11+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,137, ,11115.9,0.9, ,(11),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,138, ,11785.9,0.9, ,(15+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,139, ,12539.9,1.1, ,(13),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10

